"동별(1)",동별(2),동별(3),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"동별(1)",동별(2),동별(3),금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관
"동별(1)",동별(2),동별(3),소계,한국은행,시중은행,시중은행,시중은행,시중은행,시중은행,시중은행,지방은행,특수은행,특수은행,특수은행,특수은행,기타,기타
"동별(1)",동별(2),동별(3),소계,소계,우리은행,SC제일은행,KB국민은행,신한은행,한국씨티은행,KEB하나은행,소계,IBK기업은행,NH농협은행,수협은행,KDB산업은행,한국수출입은행,외국은행
"합계",소계,소계,1987,2,370,92,356,358,22,270,43,194,165,59,19,2,35
"합계",종로구,소계,115,-,19,5,19,17,5,15,1,7,14,1,1,-,11
"합계",종로구,청운효자동,4,-,1,-,1,1,-,-,-,-,1,-,-,-,-
"합계",종로구,사직동,23,-,1,-,2,3,5,4,1,1,5,-,-,-,1
"합계",종로구,삼청동,3,-,1,-,-,-,-,1,-,-,1,-,-,-,-
"합계",종로구,부암동,2,-,1,-,1,-,-,-,-,-,-,-,-,-,-
"합계",종로구,평창동,2,-,1,-,-,-,-,1,-,-,-,-,-,-,-
"합계",종로구,무악동,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-
"합계",종로구,교남동,3,-,1,-,2,-,-,-,-,-,-,-,-,-,-
"합계",종로구,가회동,4,-,1,-,-,2,-,1,-,-,-,-,-,-,-
"합계",종로구,종로1.2.3.4가동,46,-,6,4,10,4,-,3,-,3,5,-,1,-,10
"합계",종로구,종로5.6가동,8,-,1,-,-,2,-,3,-,1,-,1,-,-,-
"합계",종로구,이화동,5,-,-,-,1,2,-,-,-,1,1,-,-,-,-
"합계",종로구,혜화동,5,-,2,-,1,1,-,1,-,-,-,-,-,-,-
"합계",종로구,창신1동,4,-,1,1,1,1,-,-,-,-,-,-,-,-,-
"합계",종로구,창신2동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-
"합계",종로구,숭인1동,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",종로구,숭인2동,3,-,1,-,-,1,-,-,-,-,1,-,-,-,-
"합계",중구,소계,176,1,29,5,23,38,-,16,6,16,14,6,1,-,21
"합계",중구,소공동,32,1,2,2,2,12,-,2,1,1,3,-,1,-,5
"합계",중구,회현동,18,-,4,1,3,1,-,2,-,2,3,-,-,-,2
"합계",중구,명동,64,-,7,1,8,13,-,5,4,6,3,3,-,-,14
"합계",중구,필동,9,-,1,-,1,5,-,1,-,-,1,-,-,-,-
"합계",중구,장충동,3,-,2,-,-,1,-,-,-,-,-,-,-,-,-
"합계",중구,광희동,17,-,4,-,3,1,-,3,1,3,1,1,-,-,-
"합계",중구,을지로동,10,-,3,1,1,2,-,1,-,1,1,-,-,-,-
"합계",중구,신당동,5,-,1,-,1,1,-,-,-,-,-,2,-,-,-
"합계",중구,다산동,4,-,1,-,2,-,-,1,-,-,-,-,-,-,-
"합계",중구,약수동,2,-,1,-,-,-,-,-,-,1,-,-,-,-,-
"합계",중구,신당5동,2,-,-,-,-,-,-,1,-,-,1,-,-,-,-
"합계",중구,동화동,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-
"합계",중구,황학동,6,-,1,-,1,1,-,-,-,2,1,-,-,-,-
"합계",중구,중림동,3,-,2,-,1,-,-,-,-,-,-,-,-,-,-
"합계",용산구,소계,67,-,13,3,11,12,1,10,-,8,8,1,-,-,-
"합계",용산구,후암동,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-
"합계",용산구,남영동,6,-,1,-,2,-,-,1,-,1,1,-,-,-,-
"합계",용산구,청파동,2,-,1,-,-,1,-,-,-,-,-,-,-,-,-
"합계",용산구,원효로1동,4,-,1,-,1,1,-,-,-,-,1,-,-,-,-
"합계",용산구,원효로2동,2,-,1,-,-,-,-,-,-,1,-,-,-,-,-
"합계",용산구,효창동,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"합계",용산구,한강로동,19,-,5,1,2,3,-,3,-,1,3,1,-,-,-
"합계",용산구,이촌1동,10,-,1,1,2,2,1,2,-,1,-,-,-,-,-
"합계",용산구,이태원1동,5,-,-,-,1,2,-,1,-,1,-,-,-,-,-
"합계",용산구,이태원2동,5,-,1,-,1,1,-,-,-,1,1,-,-,-,-
"합계",용산구,한남동,10,-,2,-,1,2,-,2,-,2,1,-,-,-,-
"합계",용산구,서빙고동,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",용산구,보광동,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-
