"동별(1)",동별(2),동별(3),2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006
"동별(1)",동별(2),동별(3),금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관
"동별(1)",동별(2),동별(3),소계,한국은행,시중은행,시중은행,시중은행,시중은행,시중은행,시중은행,시중은행,지방은행,특수은행,특수은행,특수은행,특수은행,기타,기타
"동별(1)",동별(2),동별(3),소계,소계,우리은행,SC제일은행,KB국민은행,한국외한은행,신한은행,한국씨티은행,KEB하나은행,소계,IBK기업은행,NH농협은행,수협은행,KDB산업은행,한국수출입은행,외국은행
"합계",중구,신당4동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",중구,신당5동,2,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-
"합계",중구,신당6동,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
"합계",중구,황학동,3,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-
"합계",중구,중림동,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",용산구,소계,88,-,16,8,12,6,15,3,13,-,7,8,-,-,-,-
"합계",용산구,후암동,3,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-
"합계",용산구,용산2가동,2,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-
"합계",용산구,남영동,7,-,1,-,1,1,-,1,1,-,1,1,-,-,-,-
"합계",용산구,청파1동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",용산구,청파2동,2,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-
"합계",용산구,원효로1동,5,-,1,-,-,-,3,-,-,-,-,1,-,-,-,-
"합계",용산구,원효로2동,4,-,1,1,1,-,1,-,-,-,-,-,-,-,-,-
"합계",용산구,효창동,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
"합계",용산구,한강로1동,3,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-
"합계",용산구,한강로2동,24,-,4,3,2,1,5,1,4,-,1,3,-,-,-,-
"합계",용산구,이촌1동,12,-,1,2,2,1,2,1,3,-,-,-,-,-,-,-
"합계",용산구,이태원1동,8,-,-,1,2,2,1,-,-,-,2,-,-,-,-,-
"합계",용산구,한남1동,10,-,3,-,1,1,2,-,3,-,-,-,-,-,-,-
"합계",용산구,한남2동,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
"합계",용산구,서빙고동,3,-,1,-,-,-,-,-,1,-,-,1,-,-,-,-
"합계",용산구,보광동,2,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-
"합계",성동구,소계,66,-,9,9,10,3,12,4,7,-,7,5,-,-,-,-
"합계",성동구,왕십리1동,2,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-
"합계",성동구,왕십리2동,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
"합계",성동구,도선동,5,-,-,1,-,1,2,-,1,-,-,-,-,-,-,-
"합계",성동구,마장동,5,-,1,2,1,-,-,-,-,-,1,-,-,-,-,-
"합계",성동구,행당1동,12,-,2,-,1,-,3,2,3,-,-,1,-,-,-,-
"합계",성동구,응봉동,2,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
"합계",성동구,금호1가동,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
"합계",성동구,금호2가동,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
"합계",성동구,금호3가동,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
"합계",성동구,금호4가동,5,-,1,2,1,-,-,-,-,-,-,1,-,-,-,-
"합계",성동구,옥수1동,3,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-
"합계",성동구,성수1가1동,10,-,1,1,1,-,5,-,1,-,1,-,-,-,-,-
"합계",성동구,성수2가1동,13,-,1,3,2,1,-,1,1,-,3,1,-,-,-,-
"합계",성동구,성수2가3동,2,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-
"합계",성동구,용답동,3,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-
"합계",광진구,소계,70,-,12,7,15,5,13,2,8,-,5,2,1,-,-,-
"합계",광진구,노유1동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",광진구,노유2동,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
"합계",광진구,화양동,9,-,-,-,2,1,2,-,1,-,1,1,1,-,-,-
"합계",광진구,군자동,4,-,2,-,1,1,-,-,-,-,-,-,-,-,-,-
"합계",광진구,중곡1동,12,-,1,3,2,-,3,-,1,-,2,-,-,-,-,-
"합계",광진구,중곡2동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",광진구,중곡3동,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"합계",광진구,중곡4동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",광진구,능동,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
"합계",광진구,광장동,9,-,2,-,1,1,1,1,2,-,1,-,-,-,-,-
"합계",광진구,자양1동,12,-,3,2,3,-,4,-,-,-,-,-,-,-,-,-
"합계",광진구,자양3동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",광진구,구의1동,17,-,2,2,4,1,3,1,2,-,1,1,-,-,-,-
"합계",동대문구,소계,75,-,15,9,15,4,10,1,8,-,6,5,2,-,-,-
"합계",동대문구,신설동,2,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-
"합계",동대문구,용두1동,7,-,1,3,2,-,-,-,1,-,-,-,-,-,-,-
"합계",동대문구,용두2동,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
"합계",동대문구,제기1동,10,-,1,2,2,-,2,-,-,-,1,1,1,-,-,-
"합계",동대문구,제기2동,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"합계",동대문구,전농1동,4,-,1,-,1,-,1,-,-,-,-,1,-,-,-,-
"합계",동대문구,전농3동,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
"합계",동대문구,전농4동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",동대문구,답십리1동,4,-,-,1,1,-,1,-,-,-,1,-,-,-,-,-
"합계",동대문구,답십리2동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",동대문구,답십리4동,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"합계",동대문구,답십리5동,3,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-
"합계",동대문구,장안1동,14,-,2,1,4,-,2,-,2,-,1,1,1,-,-,-
"합계",동대문구,장안2동,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-
"합계",동대문구,장안3동,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
"합계",동대문구,장안4동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",동대문구,청량리1동,7,-,1,-,2,1,-,-,1,-,1,1,-,-,-,-
"합계",동대문구,회기동,4,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-
"합계",동대문구,휘경1동,3,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-
"합계",동대문구,휘경2동,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"합계",동대문구,이문1동,5,-,2,1,2,-,-,-,-,-,-,-,-,-,-,-
"합계",중랑구,소계,41,-,7,6,8,2,7,1,4,-,2,2,2,-,-,-
"합계",중랑구,면목1동,9,-,-,2,2,-,2,-,1,-,1,1,-,-,-,-
"합계",중랑구,면목2동,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
"합계",중랑구,면목6동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",중랑구,면목7동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",중랑구,상봉1동,3,-,-,1,1,-,1,-,-,-,-,-,-,-,-,-
"합계",중랑구,상봉2동,2,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-
"합계",중랑구,중화1동,4,-,1,-,1,-,1,-,-,-,-,1,-,-,-,-
"합계",중랑구,중화2동,2,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-
"합계",중랑구,묵1동,6,-,1,1,1,1,-,-,1,-,1,-,-,-,-,-
"합계",중랑구,망우1동,6,-,-,1,2,1,1,-,1,-,-,-,-,-,-,-
"합계",중랑구,망우2동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",중랑구,망우3동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",중랑구,신내1동,4,-,1,1,1,-,1,-,-,-,-,-,-,-,-,-
"합계",성북구,소계,69,-,14,6,14,3,10,1,13,-,4,4,-,-,-,-
"합계",성북구,성북1동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",성북구,성북2동,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
"합계",성북구,동소문동,5,-,1,-,1,1,1,-,-,-,-,1,-,-,-,-
"합계",성북구,삼선1동,2,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",성북구,삼선2동,3,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-
"합계",성북구,동선1동,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
"합계",성북구,동선2동,2,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
"합계",성북구,돈암1동,4,-,1,-,-,-,2,-,1,-,-,-,-,-,-,-
"합계",성북구,안암동,5,-,-,-,1,-,-,-,3,-,1,-,-,-,-,-
"합계",성북구,보문동,5,-,1,-,1,-,1,-,-,-,-,2,-,-,-,-
"합계",성북구,정릉1동,4,-,1,-,2,-,1,-,-,-,-,-,-,-,-,-
"합계",성북구,정릉2동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",성북구,정릉4동,2,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-
"합계",성북구,길음1동,5,-,1,-,1,-,2,1,-,-,-,-,-,-,-,-
"합계",성북구,길음2동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",성북구,종암1동,4,-,-,-,2,-,-,-,1,-,1,-,-,-,-,-
"합계",성북구,월곡1동,10,-,3,2,2,-,1,-,2,-,-,-,-,-,-,-
"합계",성북구,월곡2동,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
"합계",성북구,상월곡동,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
"합계",성북구,장위1동,6,-,1,1,2,-,-,-,1,-,1,-,-,-,-,-
"합계",성북구,석관1동,5,-,2,1,1,1,-,-,-,-,-,-,-,-,-,-
"합계",강북구,소계,44,-,7,2,8,2,6,1,7,-,6,3,2,-,-,-
"합계",강북구,미아1동,15,-,4,1,3,-,3,-,1,-,3,-,-,-,-,-
"합계",강북구,미아3동,2,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-
"합계",강북구,미아4동,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"합계",강북구,미아6.7동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",강북구,미아8동,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
"합계",강북구,번1동,6,-,-,-,1,-,2,-,2,-,1,-,-,-,-,-
"합계",강북구,번3동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",강북구,수유1동,11,-,1,1,4,-,1,-,1,-,1,2,-,-,-,-
"합계",강북구,수유2동,2,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-
"합계",강북구,수유3동,3,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-
"합계",강북구,수유4동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",도봉구,소계,36,-,5,3,7,2,7,1,5,-,2,3,1,-,-,-
"합계",도봉구,창1동,11,-,1,1,2,-,2,-,2,-,1,2,-,-,-,-
"합계",도봉구,창2동,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"합계",도봉구,창4동,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
"합계",도봉구,창5동,2,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
"합계",도봉구,도봉1동,3,-,-,1,1,-,1,-,-,-,-,-,-,-,-,-
"합계",도봉구,쌍문1동,5,-,-,-,2,-,1,-,2,-,-,-,-,-,-,-
"합계",도봉구,쌍문3동,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
"합계",도봉구,방학1동,12,-,3,1,2,-,2,1,1,-,1,1,-,-,-,-
"합계",노원구,소계,75,-,14,3,15,1,13,3,9,-,7,8,1,1,-,-
"합계",노원구,월계1동,6,-,2,1,2,-,1,-,-,-,-,-,-,-,-,-
"합계",노원구,월계3동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",노원구,공릉1동,14,-,2,-,3,-,2,-,1,-,2,3,1,-,-,-
"합계",노원구,공릉2동,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
"합계",노원구,하계1동,5,-,1,-,-,-,3,-,1,-,-,-,-,-,-,-
"합계",노원구,중계1동,15,-,3,-,5,-,3,1,2,-,1,-,-,-,-,-
"합계",노원구,중계4동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",노원구,상계1동,20,-,3,2,5,-,3,1,2,-,4,-,-,-,-,-
"합계",노원구,상계5동,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
"합계",노원구,상계6동,6,-,1,-,-,-,-,1,1,-,-,2,-,1,-,-
"합계",노원구,상계7동,2,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
"합계",노원구,상계8동,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
"합계",노원구,상계9동,2,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-
"합계",은평구,소계,49,-,5,3,11,2,8,1,7,-,5,4,3,-,-,-
"합계",은평구,녹번동,3,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-
"합계",은평구,불광1동,6,-,-,-,2,-,1,1,-,-,-,2,-,-,-,-
"합계",은평구,불광2동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",은평구,갈현1동,8,-,-,1,2,1,2,-,-,-,-,1,1,-,-,-
"합계",은평구,대조동,6,-,1,1,1,-,1,-,1,-,1,-,-,-,-,-
"합계",은평구,응암1동,9,-,1,1,3,-,2,-,-,-,1,1,-,-,-,-
"합계",은평구,응암3동,2,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
"합계",은평구,응암4동,2,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-
"합계",은평구,역촌1동,6,-,1,-,2,-,1,-,2,-,-,-,-,-,-,-
"합계",은평구,신사1동,2,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
"합계",은평구,증산동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",은평구,수색동,3,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-
"합계",서대문구,소계,62,-,14,5,12,3,8,2,8,-,7,3,-,-,-,-
"합계",서대문구,충정로동,9,-,2,1,2,-,2,-,1,-,-,1,-,-,-,-
"합계",서대문구,천연동,2,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-
"합계",서대문구,북아현1동,4,-,1,1,1,-,-,-,-,-,1,-,-,-,-,-
"합계",서대문구,대신동,6,-,2,-,1,-,1,-,1,-,-,1,-,-,-,-
"합계",서대문구,창천동,5,-,-,-,2,-,2,-,-,-,1,-,-,-,-,-
"합계",서대문구,연희1동,8,-,1,1,2,1,-,1,1,-,1,-,-,-,-,-
"합계",서대문구,연희2동,2,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",서대문구,홍제1동,6,-,-,1,1,1,2,-,-,-,1,-,-,-,-,-
"합계",서대문구,홍제3동,2,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",서대문구,홍제2동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",서대문구,홍제4동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",서대문구,홍은1동,3,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-
"합계",서대문구,홍은2동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",서대문구,홍은3동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",서대문구,남가좌1동,6,-,-,1,2,1,1,-,-,-,-,1,-,-,-,-
"합계",서대문구,남가좌2동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",서대문구,북가좌1동,4,-,1,-,-,-,-,-,2,-,1,-,-,-,-,-
"합계",마포구,소계,96,-,12,8,16,7,18,4,14,-,6,6,4,1,-,-
"합계",마포구,아현1동,4,-,1,-,1,-,2,-,-,-,-,-,-,-,-,-
"합계",마포구,공덕1동,13,-,2,-,2,1,3,-,2,-,1,1,1,-,-,-
"합계",마포구,공덕2동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",마포구,도화1동,16,-,2,3,3,-,2,2,2,-,1,1,-,-,-,-
"합계",마포구,도화2동,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"합계",마포구,용강동,4,-,-,-,-,1,1,-,1,-,-,-,1,-,-,-
"합계",마포구,대흥동,3,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-
"합계",마포구,염리동,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
"합계",마포구,노고산동,6,-,1,1,-,1,2,-,1,-,-,-,-,-,-,-
"합계",마포구,신수동,2,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-
"합계",마포구,창전동,2,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
"합계",마포구,서교동,13,-,1,1,4,-,3,-,2,-,-,1,-,1,-,-
"합계",마포구,동교동,10,-,1,2,-,-,-,2,2,-,1,1,1,-,-,-
"합계",마포구,합정동,3,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-
"합계",마포구,망원1동,5,-,-,-,1,-,-,-,2,-,2,-,-,-,-,-
"합계",마포구,연남동,2,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-
"합계",마포구,성산1동,5,-,1,-,2,1,1,-,-,-,-,-,-,-,-,-
"합계",마포구,성산2동,2,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-
"합계",마포구,상암동,3,-,1,-,-,-,1,-,-,-,-,1,-,-,-,-
"합계",양천구,소계,84,-,11,9,16,5,16,3,12,-,4,6,1,1,-,-
"합계",양천구,목1동,31,-,2,3,8,1,6,2,4,-,2,2,-,1,-,-
"합계",양천구,목2동,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"합계",양천구,목3동,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
"합계",양천구,목4동,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
"합계",양천구,목5동,2,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-
"합계",양천구,목6동,2,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-
"합계",양천구,신월1동,10,-,3,1,2,-,2,-,1,-,-,1,-,-,-,-
"합계",양천구,신월2동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",양천구,신월6동,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
"합계",양천구,신월7동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",양천구,신정1동,26,-,3,3,6,1,7,1,2,-,2,1,-,-,-,-
"합계",양천구,신정2동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",양천구,신정4동,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
"합계",양천구,신정5동,2,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-
"합계",양천구,신정6동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",양천구,신정7동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",강서구,소계,73,-,11,3,12,4,21,2,6,-,6,5,3,-,-,-
"합계",강서구,염창동,5,-,1,-,1,-,1,-,1,-,1,-,-,-,-,-
"합계",강서구,등촌1동,9,-,1,-,1,-,3,1,-,-,2,1,-,-,-,-
"합계",강서구,등촌2동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",강서구,등촌3동,3,-,-,-,1,-,-,-,1,-,-,1,-,-,-,-
"합계",강서구,화곡1동,15,-,2,1,4,1,5,-,-,-,1,-,1,-,-,-
"합계",강서구,화곡3동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",강서구,화곡4동,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
"합계",강서구,화곡5동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",강서구,화곡6동,2,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",강서구,화곡7동,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"합계",강서구,화곡8동,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
"합계",강서구,가양1동,4,-,1,-,2,-,1,-,-,-,-,-,-,-,-,-
"합계",강서구,발산1동,8,-,1,-,1,1,1,1,-,-,1,1,1,-,-,-
"합계",강서구,공항동,11,-,2,1,-,1,6,-,-,-,-,1,-,-,-,-
"합계",강서구,방화1동,7,-,1,-,2,-,3,-,1,-,-,-,-,-,-,-
"합계",강서구,방화2동,2,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
"합계",강서구,방화3동,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
"합계",구로구,소계,74,-,12,6,13,5,16,2,7,-,11,2,-,-,-,-
"합계",구로구,신도림동,4,-,2,-,1,-,1,-,-,-,-,-,-,-,-,-
"합계",구로구,구로1동,36,-,4,3,7,-,11,2,2,-,6,1,-,-,-,-
"합계",구로구,구로2동,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"합계",구로구,구로3동,2,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
"합계",구로구,구로4동,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
"합계",구로구,구로5동,2,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-
"합계",구로구,구로6동,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"합계",구로구,구로본동,3,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-
"합계",구로구,가리봉1동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",구로구,고척1동,5,-,-,1,1,-,-,-,1,-,2,-,-,-,-,-
"합계",구로구,고척2동,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
"합계",구로구,개봉1동,7,-,2,1,2,-,1,-,-,-,1,-,-,-,-,-
"합계",구로구,개봉2동,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
"합계",구로구,개봉3동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",구로구,오류1동,6,-,-,-,2,1,1,-,1,-,1,-,-,-,-,-
"합계",구로구,오류2동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",구로구,수궁동,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
"합계",금천구,소계,57,-,9,3,12,1,9,-,6,-,9,5,2,1,-,-
"합계",금천구,가산동,18,-,3,1,6,-,2,-,1,-,3,1,1,-,-,-
"합계",금천구,독산1동,14,-,2,1,3,-,3,-,1,-,2,1,-,1,-,-
"합계",금천구,독산2동,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
"합계",금천구,독산4동,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
"합계",금천구,시흥1동,16,-,2,1,2,-,4,-,2,-,3,2,-,-,-,-
"합계",금천구,시흥2동,3,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-
"합계",금천구,시흥4동,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
"합계",금천구,시흥5동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",금천구,시흥본동,2,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-
"합계",영등포구,소계,161,-,25,14,28,7,32,5,20,3,13,7,5,2,-,-
"합계",영등포구,영등포1동,3,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-
"합계",영등포구,영등포2동,18,-,3,1,4,1,4,1,3,-,-,1,-,-,-,-
"합계",영등포구,영등포3동,7,-,-,2,-,-,2,-,-,-,-,2,1,-,-,-
"합계",영등포구,여의동,77,-,9,6,10,5,17,4,11,3,5,3,2,2,-,-
"합계",영등포구,당산1동,8,-,3,-,1,-,3,-,-,-,1,-,-,-,-,-
