"시설명","시설코드","시설종류명(시설유형)","시설종류상세명(시설종류)","자치구(시)구분","시군구코드","시군구명","시설주소","전화번호","우편번호"
"성북구립 상월곡실버복지센터","A0495","(노인복지시설) 노인복지관(소규모)","노인여가복지시설","자치구","1129000000","성북구","서울특별시 성북구 화랑로18길 6 (상월곡동)","",""
"서초구립양재노인종합복지관","A0724","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1165000000","서초구","서울특별시 서초구 강남대로30길 ","",""
"강서구립봉제산노인복지센터","A0922","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1150000000","강서구","서울특별시 강서구 화곡동 산 41-16 ","",""
"시립중랑노인종합복지관","A1022","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1126000000","중랑구","서울특별시 중랑구 겸재로9길 45 (면목동)","",""
"강남구립 강남노인종합복지관","A1165","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1168000000","강남구","서울특별시 강남구 삼성로 66 번지","",""
"강북노인종합복지관","A1174","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1130500000","강북구","서울특별시 강북구 삼양로92길 40 (수유동)","",""
"북가좌노인복지관","A1599","(노인복지시설) 노인복지관(소규모)","노인여가복지시설","자치구","1141000000","서대문구","서울특별시 서대문구 증가로20길 43 (북가좌동)","",""
"양천어르신종합복지관","A1732","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1147000000","양천구","서울특별시 양천구 목동로3길 106 (신정동)","",""
"연희노인복지관","A1756","(노인복지시설) 노인복지관(소규모)","노인여가복지시설","자치구","1141000000","서대문구","서울특별시 서대문구 홍제천로2길 111 (연희동)","",""
"시립은평노인종합복지관","A2077","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1138000000","은평구","서울특별시 은평구 연서로 415 (진관동)","",""
"도봉동어르신복지관","A2149","(노인복지시설) 노인복지관(소규모)","노인여가복지시설","자치구","1132000000","도봉구","서울특별시 도봉구 도봉로169가길 52 (도봉동)","",""
"구립역촌노인복지관","A2224","(노인복지시설) 노인복지관(소규모)","노인여가복지시설","자치구","1138000000","은평구","서울특별시 은평구 연서로3나길 11-30 (역촌동)","",""
"구립갈현노인복지관","A2247","(노인복지시설) 노인복지관(소규모)","노인여가복지시설","자치구","1138000000","은평구","서울특별시 은평구 통일로89길 12-6 (갈현동)","",""
"약수노인복지관","A2255","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1114000000","중구","서울특별시 중구 다산로6길 11 (신당동)","",""
"송파노인종합복지관","A2315","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1171000000","송파구","서울특별시 송파구 백제고분로32길 41 (삼전동)","",""
"동작노인종합복지관","A2509","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1159000000","동작구","서울특별시 동작구 상도로11길 7 (대방동)","",""
"성북구립 장위실버복지센터","A2723","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1129000000","성북구","서울특별시 성북구 한천로 708 (장위동)","",""
"구립중화경로복지관","A2732","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1126000000","중랑구","서울특별시 중랑구 동일로138길 28 (중화동)","",""
"시립성북노인종합복지관","A2733","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1129000000","성북구","서울특별시 성북구 종암로15길 10 (종암동)","",""
"시립노원노인종합복지관","A2739","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1135000000","노원구","서울특별시 노원구 노원로16길 15 (하계동, 시립노원노인종합복지관)","",""
"시립용산노인종합복지관","A2758","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1117000000","용산구","서울특별시 용산구 독서당로11길 16 (한남동)","",""
"서울시립강서노인종합복지관","A2771","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1150000000","강서구","서울특별시 강서구 화곡로61길 85 (등촌동)","",""
"관악노인종합복지관","A2776","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1162000000","관악구","서울특별시 관악구 보라매로 35 (봉천동)","",""
"서울노인복지센터","A2947","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1111000000","종로구","서울특별시 종로구 삼일대로 467 (경운동)","",""
"서대문노인종합복지관","A2955","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1141000000","서대문구","서울특별시 서대문구 독립문로8길 57 (천연동)","",""
"창동어르신복지관","A2991","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1132000000","도봉구","서울특별시 도봉구 덕릉로60차길 8 (창동)","",""
"구립신내노인종합복지관","A3015","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1126000000","중랑구","서울특별시 중랑구 신내로15길 175 (신내동)","",""
"쌍문동어르신복지관","A3085","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1132000000","도봉구","서울특별시 도봉구 우이천로 363 (쌍문동)","",""
"서울시립동대문노인종합복지관","A3206","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1123000000","동대문구","서울특별시 동대문구 제기로33길 25 (청량리동)","",""
"방학동어르신복지관","A3812","(노인복지시설) 노인복지관(소규모)","노인여가복지시설","자치구","1132000000","도봉구","서울특별시 도봉구 시루봉로15라길 59-9 (방학동)","",""
"종로노인종합복지관","A3971","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1111000000","종로구","서울특별시 종로구 율곡로19길 17-8 (이화동)","",""
"성동노인종합복지관","A4002","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1120000000","성동구","서울특별시 성동구 마조로 77 (마장동)","",""
"구립영등포노인종합복지관","A4035","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1156000000","영등포구","서울특별시 영등포구 도림로 482 (문래동3가)","",""
"청파노인복지관","A4195","(노인복지시설) 노인복지관(소규모)","노인여가복지시설","자치구","1117000000","용산구","서울특별시 용산구 청파로83길 26 (서계동)","",""
"강남구립 역삼노인복지관","A4790","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1168000000","강남구","서울특별시 강남구 도곡로27길 27 (역삼동)","",""
"서초구립중앙노인종합복지관","A4947","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1165000000","서초구","서울특별시 서초구 서초대로54길 ","",""
"강동구립 해공노인복지관","A5818","(노인복지시설) 노인복지관(소규모)","노인여가복지시설","자치구","1174000000","강동구","서울특별시 강동구 천중로17길 42-16 (천호동)","",""
"구립신사노인복지관","A5842","(노인복지시설) 노인복지관(소규모)","노인여가복지시설","자치구","1138000000","은평구","서울특별시 은평구 증산로15길 47 (신사동)","",""
"도봉노인종합복지관","A5899","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1132000000","도봉구","서울특별시 도봉구 도당로2길 12-13 (쌍문동)","",""
"성가정노인종합복지관","A6010","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1174000000","강동구","서울특별시 강동구 양재대로156길 28 (고덕동)","",""
"아현실버복지관","A6055","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1144000000","마포구","서울특별시 마포구 환일길 3 (아현동)","",""
"금천노인종합복지관","A6079","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1154500000","금천구","서울특별시 금천구 시흥대로51길 93-32 (시흥동)","",""
"마포노인종합복지관","A6080","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1144000000","마포구","서울특별시 마포구 서강로 68 (창전동)","",""
"광진노인종합복지관","A6226","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1121500000","광진구","서울특별시 광진구 군자로 88 (군자동)","",""
"강남구립 대치노인복지관","A6327","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1168000000","강남구","서울특별시 강남구 역삼로69길 22 (대치동)","",""
"강남구립 강남시니어플라자","A6449","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1168000000","강남구","서울특별시 강남구 봉은사로 332 (역삼동)","",""
"금천호암노인종합복지관","A6518","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1154500000","금천구","서울특별시 금천구 독산로72길 86-5 (독산동)","",""
"우리마포복지관","A6622","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1144000000","마포구","서울특별시 마포구 신촌로26길 10 (노고산동)","",""
"송파실벗뜨락","A7031","(노인복지시설) 노인복지관(소규모)","노인여가복지시설","자치구","1171000000","송파구","서울특별시 송파구 송파동 113번지 2호   4,5,6층","",""
"온수어르신복지관","A7039","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1153000000","구로구","서울특별시 구로구 부일로9길 111 (온수동)","",""
"공릉노인복지관","A7040","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1135000000","노원구","서울특별시 노원구 공릉로 129 (공릉동)","",""
"강서구립곰달래어르신복지센터","A7046","(노인복지시설) 노인복지관(소규모)","노인여가복지시설","자치구","1150000000","강서구","서울특별시 강서구 화곡동 890번지","",""
"구로노인종합복지관","A7146","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1153000000","구로구","서울특별시 구로구 새말로16길 25 번지 7 호","",""
"왕십리도선동노인복지관","A7296","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1120000000","성동구","서울특별시 성동구 마장로 141 (상왕십리동, 왕십리도선동 복합청사 노인복지센터)","",""
"서울특별시립강동노인종합복지관","A7577","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1174000000","강동구","서울특별시 강동구 동남로71길 32-5 (명일동)","",""
"송파복지센터","A7727","(노인복지시설) 노인복지관(소규모)","노인여가복지시설","자치구","1171000000","송파구","서울특별시 송파구 충민로 184 (장지동)","",""
"구립응암노인복지관","A7958","(노인복지시설) 노인복지관(소규모)","노인여가복지시설","자치구","1138000000","은평구","서울특별시 은평구 응암로21가길 5-1 (응암동)","",""
"강남구립 논현노인종합복지관","A8780","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1168000000","강남구","서울특별시 강남구 강남대로128길 59 (논현동)","",""
"구립불광노인복지관","A9358","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1138000000","은평구","서울특별시 은평구 연서로32길 17-11 (불광동)","",""
"강서구립화곡노인복지센터","A9619","(노인복지시설) 노인복지관(소규모)","노인여가복지시설","자치구","1150000000","강서구","서울특별시 강서구 월정로30길 963층~5층","",""
"강서구립연지노인복지센터","A9646","(노인복지시설) 노인복지관(소규모)","노인여가복지시설","자치구","1150000000","강서구","서울특별시 강서구 화곡로58길 30-7","",""
"근화노인교실","C0000006552","(노인복지시설) 노인교실","노인여가복지시설","자치구","1114000000","중구","서울특별시 중구 동호로20길 24 (신당동)","",""
"도원동교회 노인교실","C0000006693","(노인복지시설) 노인교실","노인여가복지시설","자치구","1117000000","용산구","서울특별시 용산구 새창로12길 11-8 (도원동)","",""
"후암동성당 시니어아카데미","C0000006711","(노인복지시설) 노인교실","노인여가복지시설","자치구","1117000000","용산구","서울특별시 용산구 후암로34길 21-8 (후암동)","",""
"용산성당 성모성심 아카데미","C0000006714","(노인복지시설) 노인교실","노인여가복지시설","자치구","1117000000","용산구","서울특별시 용산구 효창원로15길 37 (산천동)","",""
"원동교회 늘품나루학교","C0000006721","(노인복지시설) 노인교실","노인여가복지시설","자치구","1117000000","용산구","서울특별시 용산구 원효로64길 21 (원효로2가)","",""
"삼각교회 상록대학","C0000006758","(노인복지시설) 노인교실","노인여가복지시설","자치구","1117000000","용산구","서울특별시 용산구 한강대로53길 8 (한강로1가)","",""
"새남터성당 시니어아카데미","C0000006779","(노인복지시설) 노인교실","노인여가복지시설","자치구","1117000000","용산구","서울특별시 용산구 이촌로 80-8 (이촌동)","",""
"성동무지개노인대학","C0000006922","(노인복지시설) 노인교실","노인여가복지시설","자치구","1120000000","성동구","서울특별시 성동구 무학로6길 9 (홍익동)","",""
"성수1가2동노인복지관 대현분소","C0000006935","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1120000000","성동구","서울특별시 성동구 금호로 172-1 (금호동1가)","",""
"금호교회 늘푸른대학","C0000007003","(노인복지시설) 노인교실","노인여가복지시설","자치구","1120000000","성동구","서울특별시 성동구 금호동3가 165-1 ","",""
"구의교회 늘푸른대학","C0000007243","(노인복지시설) 노인교실","노인여가복지시설","자치구","1121500000","광진구","서울특별시 광진구 광나루로44길 47 (구의동)","",""
"(사)대한노인회 동대문구지회","C0000007274","(노인복지시설) 노인교실","노인여가복지시설","자치구","1123000000","동대문구","서울특별시 동대문구 사가정로 98 (전농동)","",""
"국일교회노인교실","C0000007516","(노인복지시설) 노인교실","노인여가복지시설","자치구","1126000000","중랑구","서울특별시 중랑구 상봉로25길 27 (상봉동)","",""
"천주교불광동성당노인교실","C0000008933","(노인복지시설) 노인교실","노인여가복지시설","자치구","1138000000","은평구","서울특별시 은평구 통일로 786 (불광동)","",""
"응암교회노인교실","C0000008938","(노인복지시설) 노인교실","노인여가복지시설","자치구","1138000000","은평구","서울특별시 은평구 은평로16길 11 (응암동)","",""
"응암 시니어 아카데미","C0000008976","(노인복지시설) 노인교실","노인여가복지시설","자치구","1138000000","은평구","서울특별시 은평구 가좌로 200 (응암동)","",""
"늘푸른교실","C0000008980","(노인복지시설) 노인교실","노인여가복지시설","자치구","1138000000","은평구","서울특별시 은평구 갈현로35길 12-13 (갈현동)","",""
"서광 어르신대학","C0000009087","(노인복지시설) 노인교실","노인여가복지시설","자치구","1138000000","은평구","서울특별시 은평구 통일로 951 (갈현동)","",""
"아현노인교실","C0000010954","(노인복지시설) 노인교실","노인여가복지시설","자치구","1141000000","서대문구","서울특별시 서대문구 신촌로 293 (북아현동)","",""
"바오로시니어대학","C0000011022","(노인복지시설) 노인교실","노인여가복지시설","자치구","1141000000","서대문구","서울특별시 서대문구 연희로 64-14 (연희동)","",""
"연희교회노인교실","C0000011028","(노인복지시설) 노인교실","노인여가복지시설","자치구","1141000000","서대문구","서울특별시 서대문구 연희로10길 17-6 (연희동)","",""
"아현동성당노인대학","C0000011082","(노인복지시설) 노인교실","노인여가복지시설","자치구","1141000000","서대문구","서울특별시 서대문구 북아현로4나길 17 (북아현동)","",""
"성산동성당백삼위성인대학","C0000011255","(노인복지시설) 노인교실","노인여가복지시설","자치구","1144000000","마포구","서울특별시 마포구 성산동 572-200 ","",""
"베드로노인교실","C0000011288","(노인복지시설) 노인교실","노인여가복지시설","자치구","1144000000","마포구","서울특별시 마포구 마포대로14길 15-1 (공덕동)","",""
"천주교등촌성당 요셉노인교실","C0000011363","(노인복지시설) 노인교실","노인여가복지시설","자치구","1147000000","양천구","서울특별시 양천구 목동중앙북로8길 41 (목동)","",""
"해나리은빛 노인교실","C0000011381","(노인복지시설) 노인교실","노인여가복지시설","자치구","1147000000","양천구","서울특별시 양천구 목동동로 353 (목동)","",""
"산돌노인교실","C0000011401","(노인복지시설) 노인교실","노인여가복지시설","자치구","1147000000","양천구","서울특별시 양천구 오목로 270 (목동)","",""
"등촌교회 노인교실","C0000011402","(노인복지시설) 노인교실","노인여가복지시설","자치구","1147000000","양천구","서울특별시 양천구 목동중앙북로8길 49 (목동)","",""
"목동성당 로사리오 노인교실","C0000011404","(노인복지시설) 노인교실","노인여가복지시설","자치구","1147000000","양천구","서울특별시 양천구 목동서로 271 (신정동)","",""
"금빛새마을금고 노인교실","C0000011452","(노인복지시설) 노인교실","노인여가복지시설","자치구","1147000000","양천구","서울특별시 양천구 신월로 188 (신월동,3층)","",""
"까치산노인교실","C0000011764","(노인복지시설) 노인교실","노인여가복지시설","자치구","1150000000","강서구","서울특별시 강서구 까치산로2길 89-1 (화곡동)","",""
"강서교회노인교실","C0000011793","(노인복지시설) 노인교실","노인여가복지시설","자치구","1150000000","강서구","서울특별시 강서구 강서로15길 132 (화곡동)","",""
"성산어르신문화교실","C0000011819","(노인복지시설) 노인교실","노인여가복지시설","자치구","1150000000","강서구","서울특별시 강서구 개화동로23길 111 (방화동)","",""
"제일노인교실","C0000012469","(노인복지시설) 노인교실","노인여가복지시설","자치구","1154500000","금천구","서울특별시 금천구 탑골로2길 56 (시흥동)","",""
"상도성가정시니어아카데미","C0000012922","(노인복지시설) 노인교실","노인여가복지시설","자치구","1159000000","동작구","서울특별시 동작구 상도로 259 (상도동)","",""
"관악시조노인교실","C0000013174","(노인복지시설) 노인교실","노인여가복지시설","자치구","1162000000","관악구","서울특별시 관악구 봉천동 13-44 ","",""
"요셉시니어아카데미","C0000013274","(노인복지시설) 노인교실","노인여가복지시설","자치구","1165000000","서초구","서울특별시 서초구 방배로5길 43 (방배동)","",""
"포이시니어아카데미","C0000013400","(노인복지시설) 노인교실","노인여가복지시설","자치구","1165000000","서초구","서울특별시 서초구 논현로5길 28 (양재동)","",""
"역삼동성당 경환성경공부대학","C0000013631","(노인복지시설) 노인교실","노인여가복지시설","자치구","1168000000","강남구","서울특별시 강남구 언주로85길 23-11 (역삼동, 역삼성당)","",""
"(사)대한노인회 강동구지회부설 노인교실","C0000014070","(노인복지시설) 노인교실","노인여가복지시설","자치구","1174000000","강동구","서울특별시 강동구 양재대로 1342, 2층 (둔촌동, 강동숨;터)","",""
"수표교교회서초노인대학","C0102545092","(노인복지시설) 노인교실","노인여가복지시설","자치구","1165000000","서초구","서울특별시 서초구 명달로 52 (서초동)","",""
"서초노인대학","C0103568439","(노인복지시설) 노인교실","노인여가복지시설","자치구","1165000000","서초구","서울특별시 서초구 서초대로54길 45 (서초동)","",""
"효성교회노인교실","C0103578338","(노인복지시설) 노인교실","노인여가복지시설","자치구","1165000000","서초구","서울특별시 서초구 서초대로34가길 43 (방배동)","",""
"난곡동 성가정 시니어아카데미","C0103979406","(노인복지시설) 노인교실","노인여가복지시설","자치구","1162000000","관악구","서울특별시 관악구 난곡로26길 43 (신림동)","",""
"서대문성당성심회노인교실","C0104316590","(노인복지시설) 노인교실","노인여가복지시설","자치구","1141000000","서대문구","서울특별시 서대문구 통일로9길 11 (냉천동, 서대문성당)","",""
"강서제자노인교실","C0105913247","(노인복지시설) 노인교실","노인여가복지시설","자치구","1150000000","강서구","서울특별시 강서구 방화동로 52 (방화동)","",""
"오병이어","C0107493822","(노인복지시설) 노인교실","노인여가복지시설","자치구","1138000000","은평구","서울특별시 은평구 역말로8길 25 (대조동)","",""
"남산시민대학","C0108219572","(노인복지시설) 노인교실","노인여가복지시설","자치구","1117000000","용산구","서울특별시 용산구 서빙고로 39 (한강로3가)","",""
"이태원감리교회 실버아카데미","C0113983779","(노인복지시설) 노인교실","노인여가복지시설","자치구","1117000000","용산구","서울특별시 용산구 이태원로15길 1, 3층 (이태원동)","",""
"평광교회 GS(Golden Senior) 대학","C0115149410","(노인복지시설) 노인교실","노인여가복지시설","자치구","1147000000","양천구","서울특별시 양천구 목동 909번지 2호 평광교회","",""
"서문교회 장수대학","C0116434848","(노인복지시설) 노인교실","노인여가복지시설","자치구","1138000000","은평구","서울특별시 은평구 가좌로10길 10 (응암동, 서문교회)","",""
"구산교회 실버대학","C0119379370","(노인복지시설) 노인교실","노인여가복지시설","자치구","1138000000","은평구","서울특별시 은평구 구산동 16번지 26호","",""
"북가좌2동노인복지센터","C0120436149","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1141000000","서대문구","서울특별시 서대문구 증가로20길 43 (북가좌동)","",""
"동작휴양소","C0128012503","(노인복지시설) 노인교실","노인여가복지시설","자치구","1159000000","동작구","충청남도 태안군 안면읍 중신로 343","",""
"금천어르신복지센터","C0128270562","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1154500000","금천구","서울특별시 금천구 독산동 1088번지 1호","",""
"한성늘푸른대학","C0133637546","(노인복지시설) 노인교실","노인여가복지시설","자치구","1138000000","은평구","서울특별시 은평구 응암로20길 23 (응암동)","",""
"역촌 시니어 아카데미","C0133649551","(노인복지시설) 노인교실","노인여가복지시설","자치구","1138000000","은평구","서울특별시 은평구 역말로 14 (역촌동)","",""
"연동실버아카데미","C0134474281","(노인복지시설) 노인교실","노인여가복지시설","자치구","1111000000","종로구","서울특별시 종로구 김상옥로 37 (연지동)","",""
"성락시니어아카데미","C0134739775","(노인복지시설) 노인교실","노인여가복지시설","자치구","1156000000","영등포구","서울특별시 영등포구 도림로 304 (신길동)","",""
"중앙늘푸른대학","C0136178100","(노인복지시설) 노인교실","노인여가복지시설","자치구","1111000000","종로구","서울특별시 종로구 충신길 22 (종로6가)","",""
"문래시니어노인교실","C0136766184","(노인복지시설) 노인교실","노인여가복지시설","자치구","1156000000","영등포구","서울특별시 영등포구 문래로20길 52","",""
"충신평생대학","C0136843644","(노인복지시설) 노인교실","노인여가복지시설","자치구","1117000000","용산구","서울특별시 용산구 이촌로 188 (이촌동)","",""
"시니어행복발전센터","C0140086790","(노인복지시설) 노인복지관","노인여가복지시설","자치구","1156000000","영등포구","서울특별시 영등포구 대림동 899번지 2호 영등포보건분소 2층","",""
"우장산성당 부설 시니어아카데미","C0151939866","(노인복지시설) 노인교실","노인여가복지시설","자치구","1150000000","강서구","서울특별시 강서구 화곡로53길 21 (화곡동)","",""
"등촌1동성당 노인교실 평생대학","C0155048002","(노인복지시설) 노인교실","노인여가복지시설","자치구","1150000000","강서구","서울특별시 강서구 공항대로55길 61 (등촌동, 등촌1동천주교회)","",""
