"동별(1)",동별(2),동별(3),2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013
"동별(1)",동별(2),동별(3),금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관,금융기관
"동별(1)",동별(2),동별(3),소계,한국은행,시중은행,시중은행,시중은행,시중은행,시중은행,시중은행,시중은행,지방은행,특수은행,특수은행,특수은행,특수은행,기타,기타
"동별(1)",동별(2),동별(3),소계,소계,우리은행,SC제일은행,KB국민은행,한국외한은행,신한은행,한국씨티은행,KEB하나은행,소계,IBK기업은행,NH농협은행,수협은행,KDB산업은행,한국수출입은행,외국은행
"합계",서초구,소계,234,-,36,15,34,19,42,13,30,2,18,13,4,5,1,2
"합계",서초구,서초1동,14,-,2,1,2,2,1,2,1,-,1,1,-,-,1,-
"합계",서초구,서초2동,37,-,4,3,5,2,5,1,7,2,3,1,2,2,-,-
"합계",서초구,서초3동,34,-,5,2,4,2,10,1,4,-,3,3,-,-,-,-
"합계",서초구,서초4동,22,-,4,1,4,2,3,2,3,-,1,-,1,-,-,1
"합계",서초구,잠원동,11,-,1,2,2,1,3,-,1,-,-,-,-,1,-,-
"합계",서초구,반포본동,7,-,1,1,1,1,1,-,1,-,-,1,-,-,-,-
"합계",서초구,반포1동,11,-,2,-,1,1,3,-,1,-,2,1,-,-,-,-
"합계",서초구,반포2동,9,-,-,1,-,1,1,1,2,-,2,-,-,1,-,-
"합계",서초구,반포3동,7,-,2,-,2,-,1,1,-,-,1,-,-,-,-,-
"합계",서초구,반포4동,19,-,4,1,3,2,3,1,4,-,-,1,-,-,-,-
"합계",서초구,방배본동,8,-,2,1,2,-,1,-,1,-,1,-,-,-,-,-
"합계",서초구,방배1동,5,-,-,-,1,1,1,1,1,-,-,-,-,-,-,-
"합계",서초구,방배2동,2,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-
"합계",서초구,방배3동,5,-,1,-,1,-,-,1,1,-,1,-,-,-,-,-
"합계",서초구,방배4동,15,-,1,1,3,-,3,1,2,-,1,2,-,-,-,1
"합계",서초구,양재1동,14,-,4,-,2,2,2,1,1,-,1,-,1,-,-,-
"합계",서초구,양재2동,14,-,2,1,1,2,4,-,-,-,1,3,-,-,-,-
"합계",강남구,소계,390,1,65,24,61,25,57,26,46,7,26,32,8,9,-,3
"합계",강남구,신사동,17,-,2,1,3,-,4,2,1,-,1,1,1,-,-,1
"합계",강남구,논현1동,19,-,2,2,3,2,2,1,2,-,3,1,1,-,-,-
"합계",강남구,논현2동,29,-,6,2,6,3,2,-,4,-,1,3,1,1,-,-
"합계",강남구,압구정동,34,-,6,3,5,3,7,2,4,-,2,1,-,1,-,-
"합계",강남구,청담동,20,-,4,-,3,-,2,3,4,-,1,2,-,1,-,-
"합계",강남구,삼성1동,34,-,6,1,4,4,4,1,8,1,2,2,-,1,-,-
"합계",강남구,삼성2동,23,-,4,4,1,1,3,-,3,1,2,2,1,1,-,-
"합계",강남구,대치1동,16,-,2,1,2,2,1,1,2,1,1,1,-,2,-,-
"합계",강남구,대치2동,26,-,3,-,5,2,6,3,3,1,-,2,-,-,-,1
"합계",강남구,대치4동,21,-,3,2,2,1,4,-,1,-,3,3,1,-,-,1
"합계",강남구,역삼1동,64,-,8,4,14,4,10,5,4,1,4,7,3,-,-,-
"합계",강남구,역삼2동,21,1,4,1,2,-,3,4,1,1,2,2,-,-,-,-
"합계",강남구,도곡1동,12,-,3,-,1,-,2,1,1,1,1,2,-,-,-,-
"합계",강남구,도곡2동,24,-,5,2,4,1,3,2,3,-,2,1,-,1,-,-
"합계",강남구,개포1동,3,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-
"합계",강남구,개포2동,5,-,1,-,1,-,1,-,1,-,-,-,-,1,-,-
"합계",강남구,개포4동,5,-,1,-,2,-,-,-,1,-,-,1,-,-,-,-
"합계",강남구,일원본동,6,-,1,-,1,1,2,1,-,-,-,-,-,-,-,-
"합계",강남구,일원1동,3,-,1,-,-,-,-,-,1,-,-,1,-,-,-,-
"합계",강남구,일원2동,4,-,2,-,1,-,-,-,1,-,-,-,-,-,-,-
"합계",강남구,수서동,4,-,1,-,1,-,-,-,1,-,1,-,-,-,-,-
"합계",송파구,소계,165,-,30,11,27,10,25,8,23,2,10,12,5,2,-,-
"합계",송파구,풍납1동,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
"합계",송파구,풍납2동,4,-,1,-,-,1,1,-,1,-,-,-,-,-,-,-
"합계",송파구,거여2동,4,-,1,-,1,-,-,-,1,-,-,1,-,-,-,-
"합계",송파구,마천2동,2,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-
"합계",송파구,방이1동,3,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-
"합계",송파구,방이2동,7,-,2,-,1,-,1,1,1,-,1,-,-,-,-,-
"합계",송파구,오륜동,8,-,1,-,1,2,1,1,1,-,-,-,1,-,-,-
"합계",송파구,오금동,7,-,-,-,1,-,1,-,2,-,1,1,1,-,-,-
"합계",송파구,송파1동,7,-,1,1,2,1,-,-,-,-,1,1,-,-,-,-
"합계",송파구,송파2동,4,-,1,-,-,-,1,1,1,-,-,-,-,-,-,-
"합계",송파구,석촌동,10,-,4,-,1,-,2,-,2,-,-,-,1,-,-,-
"합계",송파구,삼전동,6,-,1,-,3,-,-,1,-,-,1,-,-,-,-,-
"합계",송파구,가락본동,12,-,2,2,2,1,1,-,1,-,1,2,-,-,-,-
"합계",송파구,가락1동,3,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-
"합계",송파구,가락2동,9,-,2,-,1,-,1,1,3,-,-,1,-,-,-,-
"합계",송파구,문정1동,3,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-
"합계",송파구,문정2동,11,-,2,1,2,-,2,1,1,1,1,-,-,-,-,-
"합계",송파구,장지동,4,-,-,-,1,-,1,-,1,-,-,1,-,-,-,-
"합계",송파구,잠실본동,11,-,2,1,2,1,1,-,2,-,1,1,-,-,-,-
"합계",송파구,잠실2동,10,-,2,1,1,-,-,1,1,1,1,1,-,1,-,-
"합계",송파구,잠실3동,11,-,2,-,3,1,4,-,1,-,-,-,-,-,-,-
"합계",송파구,잠실4동,7,-,2,-,2,-,1,-,1,-,1,-,-,-,-,-
"합계",송파구,잠실6동,16,-,2,1,1,2,4,1,2,-,-,1,1,1,-,-
"합계",송파구,잠실7동,5,-,1,1,1,-,1,-,1,-,-,-,-,-,-,-
"합계",강동구,소계,83,-,17,5,17,4,11,3,11,1,7,5,2,-,-,-
"합계",강동구,강일동,6,-,1,-,2,1,-,-,-,-,2,-,-,-,-,-
"합계",강동구,상일동,2,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-
"합계",강동구,명일1동,9,-,2,1,2,-,2,-,2,-,-,-,-,-,-,-
"합계",강동구,명일2동,8,-,1,1,1,1,1,1,1,-,-,1,-,-,-,-
"합계",강동구,고덕2동,2,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
"합계",강동구,암사1동,4,-,-,-,-,-,-,-,1,-,1,1,1,-,-,-
"합계",강동구,암사2동,3,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-
"합계",강동구,암사3동,3,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-
"합계",강동구,천호1동,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
"합계",강동구,천호2동,7,-,1,1,1,-,1,1,1,-,-,1,-,-,-,-
"합계",강동구,천호3동,3,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-
"합계",강동구,성내1동,7,-,1,-,2,-,-,1,1,-,1,1,-,-,-,-
"합계",강동구,성내2동,5,-,1,1,1,1,-,-,-,1,-,-,-,-,-,-
"합계",강동구,성내3동,6,-,1,-,1,1,1,-,1,-,1,-,-,-,-,-
"합계",강동구,길동,8,-,3,-,1,-,1,-,-,-,1,1,1,-,-,-
"합계",강동구,둔촌1동,2,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-
"합계",강동구,둔촌2동,7,-,3,1,1,-,1,-,1,-,-,-,-,-,-,-
